category,profile,month,year,fb_followers,fb_number_likes,fb_number_comments,fb_number_posts,insta_followers,insta_number_comments,insta_number_posts,insta_number_likes,twitter_fans,twitter_number_posts,twitter_number_likes,twitter_retweets
Líderes Mundiais,Donald Trump,1,19,23797811.0,5412750.0,841780.0,118.0,,832356.0,78.0,25339359.0,57913532.0,362.0,34713835.0,7894570.0
Líderes Mundiais,Narendra Modi,1,19,43387498.0,2528896.0,400407.0,55.0,,,,,45310374.0,357.0,5396775.0,1212136.0
Líderes Mundiais,Jair Bolsonaro,1,19,9208943.0,10498746.0,743907.0,131.0,10095461.0,1908761.0,111.0,75975846.0,3224983.0,288.0,9514517.0,1304953.0
Líderes Mundiais,Erdogan,1,19,9020991.0,325933.0,87889.0,42.0,,51449.0,4.0,1977689.0,13418237.0,68.0,909028.0,226385.0
Líderes Mundiais,Obrador,1,19,5346470.0,1996669.0,857605.0,63.0,,17979.0,7.0,376118.0,5179546.0,61.0,645979.0,172491.0
Líderes Mundiais,Rody Duterte,1,19,4335738.0,4096.0,1419.0,1.0,,,,,180111.0,0.0,0.0,0.0
Líderes Mundiais,Cristina Kirchner,1,19,2422976.0,14189.0,1908.0,2.0,,2978.0,1.0,37053.0,5343416.0,3.0,35653.0,17260.0
Líderes Mundiais,Piñera,1,19,493532.0,47683.0,10912.0,38.0,345029.0,20241.0,33.0,355573.0,2174047.0,39.0,236699.0,106422.0
Líderes Mundiais,Matteo Salvini,1,19,3433371.0,7666040.0,1657763.0,418.0,1197035.0,651832.0,321.0,13409733.0,972383.0,692.0,1456857.0,293976.0
Líderes Mundiais,Emmanuel Macron,1,19,2383139.0,120233.0,46046.0,33.0,1314114.0,10556.0,4.0,216666.0,3647690.0,49.0,361326.0,105809.0
Líderes Mundiais,Lacalle Pou,1,19,118653.0,10749.0,2002.0,30.0,13917.0,662.0,9.0,13839.0,117567.0,95.0,17582.0,6510.0
Líderes Mundiais,Benjamin Netanyahu,1,19,2386417.0,646700.0,91420.0,140.0,514101.0,94627.0,112.0,1748043.0,1496953.0,160.0,582332.0,112091.0
Líderes Mundiais,Justin Trudeau,1,19,6475872.0,316209.0,77511.0,52.0,,,,,4442660.0,319.0,261263.0,67253.0
Líderes Mundiais,Giuseppe Conte,1,19,843964.0,379069.0,90502.0,65.0,,,,,187187.0,32.0,35874.0,8481.0
Líderes Mundiais,Nicolás Maduro,1,19,747103.0,353282.0,302122.0,214.0,534383.0,123278.0,109.0,799464.0,3513948.0,452.0,947087.0,900176.0
Líderes Mundiais,Iván Duque,1,19,902239.0,106887.0,17578.0,103.0,527849.0,10630.0,21.0,284624.0,732419.0,216.0,389894.0,172996.0
Líderes Mundiais,Evo Morales,1,19,508547.0,61827.0,21016.0,33.0,31543.0,1575.0,15.0,8460.0,485696.0,508.0,483952.0,275816.0
Líderes Mundiais,Scott Morrison,1,19,116396.0,60772.0,15765.0,51.0,28354.0,2725.0,25.0,56001.0,125384.0,54.0,24834.0,4626.0
Líderes Mundiais,Boris Johnson,1,19,557848.0,15683.0,3826.0,6.0,,,,,515022.0,18.0,40480.0,12637.0
Líderes Mundiais,Alberto Fernández,1,19,,4712.0,398.0,52.0,,264.0,7.0,6553.0,,0.0,0.0,0.0
Líderes Mundiais,Pedro Sánchez,1,19,245052.0,28240.0,7388.0,41.0,,,,,968466.0,137.0,166334.0,71679.0
Líderes Mundiais,Viktor Orbán,1,19,643850.0,66478.0,7012.0,14.0,,,,,36288.0,0.0,0.0,0.0
Líderes Mundiais,Donald Trump,2,19,23844776.0,4030070.0,664788.0,117.0,,483567.0,70.0,17937311.0,58724083.0,244.0,22754219.0,5091324.0
Líderes Mundiais,Narendra Modi,2,19,43518233.0,4249039.0,621870.0,56.0,,,,,46032407.0,256.0,5386468.0,1459333.0
Líderes Mundiais,Jair Bolsonaro,2,19,9317236.0,7154090.0,802611.0,120.0,10701030.0,1259026.0,99.0,36429265.0,3419546.0,215.0,5506178.0,744855.0
Líderes Mundiais,Erdogan,2,19,9009390.0,407837.0,99033.0,44.0,,69945.0,3.0,1642962.0,13461316.0,61.0,769700.0,170859.0
Líderes Mundiais,Obrador,2,19,5655162.0,1964564.0,637299.0,63.0,,7500.0,6.0,248474.0,5303268.0,62.0,579632.0,150506.0
Líderes Mundiais,Lacalle Pou,2,19,119432.0,19864.0,1754.0,94.0,15771.0,1411.0,87.0,63879.0,118892.0,129.0,22561.0,8486.0
Líderes Mundiais,Cristina Kirchner,2,19,2431566.0,132837.0,22857.0,8.0,,22280.0,6.0,347307.0,5355622.0,14.0,226685.0,73210.0
Líderes Mundiais,Piñera,2,19,500286.0,60279.0,15916.0,26.0,373177.0,21542.0,20.0,355676.0,2192805.0,47.0,294133.0,125455.0
Líderes Mundiais,Matteo Salvini,2,19,3496961.0,6269205.0,1081323.0,415.0,1296194.0,429165.0,282.0,10678639.0,994228.0,609.0,1006962.0,182172.0
Líderes Mundiais,Evo Morales,2,19,512992.0,55125.0,8611.0,37.0,33776.0,0.0,0.0,0.0,503123.0,316.0,361524.0,226067.0
Líderes Mundiais,Emmanuel Macron,2,19,2383649.0,91994.0,32399.0,36.0,1316204.0,7947.0,5.0,188771.0,3715364.0,56.0,201787.0,60966.0
Líderes Mundiais,Benjamin Netanyahu,2,19,2395269.0,925190.0,203882.0,166.0,545472.0,75475.0,124.0,1343927.0,1518646.0,154.0,371594.0,77250.0
Líderes Mundiais,Nicolás Maduro,2,19,813436.0,479191.0,333480.0,221.0,573506.0,113580.0,131.0,707169.0,3564459.0,528.0,925625.0,876299.0
Líderes Mundiais,Viktor Orbán,2,19,644654.0,100557.0,6534.0,22.0,,,,,36309.0,0.0,0.0,0.0
Líderes Mundiais,Iván Duque,2,19,904782.0,129822.0,19476.0,120.0,594592.0,17867.0,36.0,621378.0,804458.0,251.0,476852.0,220616.0
Líderes Mundiais,Justin Trudeau,2,19,6470315.0,298114.0,56572.0,57.0,,,,,4459138.0,284.0,206764.0,41193.0
Líderes Mundiais,Giuseppe Conte,2,19,856695.0,391853.0,74722.0,78.0,,,,,200435.0,41.0,73679.0,19062.0
Líderes Mundiais,Scott Morrison,2,19,132921.0,78093.0,18601.0,58.0,31152.0,2392.0,25.0,38725.0,129960.0,75.0,28356.0,6345.0
Líderes Mundiais,Boris Johnson,2,19,556618.0,18459.0,4988.0,4.0,,,,,521072.0,25.0,62941.0,15789.0
Líderes Mundiais,Alberto Fernández,2,19,,4005.0,270.0,23.0,,139.0,3.0,3416.0,,0.0,0.0,0.0
Líderes Mundiais,Pedro Sánchez,2,19,247392.0,54556.0,12520.0,48.0,,,,,987277.0,155.0,258615.0,111352.0
Líderes Mundiais,Rody Duterte,2,19,4335811.0,0.0,0.0,0.0,,,,,180845.0,1.0,512.0,100.0
Líderes Mundiais,Donald Trump,3,19,23903763.0,6548105.0,868095.0,193.0,,457952.0,80.0,17148310.0,59459134.0,397.0,28322355.0,6520418.0
Líderes Mundiais,Jair Bolsonaro,3,19,9398728.0,7758416.0,1046850.0,136.0,11244755.0,952693.0,113.0,31742582.0,3873295.0,243.0,8150545.0,1211396.0
Líderes Mundiais,Narendra Modi,3,19,43573686.0,3996454.0,591659.0,54.0,,,,,46676996.0,416.0,10065175.0,2469110.0
Líderes Mundiais,Erdogan,3,19,9027545.0,1584170.0,407525.0,121.0,,122463.0,7.0,3787984.0,13559713.0,156.0,2270654.0,506453.0
Líderes Mundiais,Obrador,3,19,5747934.0,1365050.0,474037.0,63.0,,4378.0,3.0,117858.0,5411094.0,57.0,436219.0,122104.0
Líderes Mundiais,Lacalle Pou,3,19,120129.0,18747.0,3623.0,58.0,18600.0,2181.0,61.0,64162.0,120863.0,123.0,34576.0,11047.0
Líderes Mundiais,Cristina Kirchner,3,19,2442817.0,146936.0,25825.0,10.0,,3577.0,2.0,121106.0,5380791.0,22.0,325085.0,102417.0
Líderes Mundiais,Rody Duterte,3,19,4340820.0,30068.0,4755.0,2.0,,,,,181714.0,1.0,188.0,38.0
Líderes Mundiais,Viktor Orbán,3,19,647365.0,141359.0,7720.0,24.0,,,,,36472.0,0.0,0.0,0.0
Líderes Mundiais,Matteo Salvini,3,19,3547421.0,7481765.0,1563176.0,454.0,1375930.0,579969.0,338.0,12387288.0,1014852.0,546.0,1086356.0,204059.0
Líderes Mundiais,Giuseppe Conte,3,19,873018.0,755125.0,98160.0,102.0,,,,,210234.0,66.0,77755.0,18712.0
Líderes Mundiais,Evo Morales,3,19,515938.0,62947.0,12246.0,49.0,35436.0,0.0,0.0,0.0,516118.0,352.0,201458.0,120681.0
Líderes Mundiais,Benjamin Netanyahu,3,19,2408581.0,1103426.0,225536.0,171.0,583882.0,127342.0,143.0,1706743.0,1540580.0,179.0,410853.0,77400.0
Líderes Mundiais,Nicolás Maduro,3,19,833730.0,332996.0,173301.0,161.0,588964.0,83506.0,102.0,446913.0,3589581.0,429.0,734811.0,671421.0
Líderes Mundiais,Iván Duque,3,19,904840.0,95034.0,15092.0,123.0,604630.0,4915.0,18.0,142939.0,835238.0,220.0,249016.0,102896.0
Líderes Mundiais,Piñera,3,19,500297.0,41729.0,9792.0,35.0,385579.0,15903.0,31.0,268891.0,2205729.0,49.0,95797.0,36529.0
Líderes Mundiais,Emmanuel Macron,3,19,2397072.0,111900.0,47385.0,40.0,1321912.0,9748.0,10.0,266141.0,3787532.0,103.0,287769.0,73562.0
Líderes Mundiais,Justin Trudeau,3,19,6485165.0,422752.0,88973.0,86.0,,,,,4478631.0,462.0,421950.0,76701.0
Líderes Mundiais,Scott Morrison,3,19,145021.0,88005.0,23954.0,60.0,36401.0,3974.0,29.0,64413.0,139676.0,80.0,57798.0,15296.0
Líderes Mundiais,Pedro Sánchez,3,19,248400.0,56718.0,8143.0,83.0,,,,,994750.0,237.0,207080.0,92111.0
Líderes Mundiais,Boris Johnson,3,19,556050.0,14537.0,7895.0,5.0,,,,,536436.0,20.0,54244.0,15958.0
Líderes Mundiais,Alberto Fernández,3,19,,5681.0,380.0,43.0,,368.0,8.0,9756.0,,0.0,0.0,0.0
Líderes Mundiais,Narendra Modi,4,19,43715426.0,7269730.0,952016.0,84.0,,,,,47073379.0,482.0,9461748.0,2347624.0
Líderes Mundiais,Donald Trump,4,19,23945522.0,5756612.0,884762.0,209.0,,438623.0,90.0,17187056.0,59943569.0,423.0,30761117.0,7198378.0
Líderes Mundiais,Erdogan,4,19,9019140.0,516923.0,64847.0,44.0,,36119.0,2.0,1241107.0,13685905.0,69.0,1493329.0,270460.0
Líderes Mundiais,Jair Bolsonaro,4,19,9440085.0,7879525.0,889009.0,157.0,11592678.0,1014510.0,137.0,36713160.0,4117303.0,236.0,7762295.0,1100224.0
Líderes Mundiais,Cristina Kirchner,4,19,2450399.0,138878.0,21412.0,7.0,,19672.0,4.0,288021.0,5399360.0,14.0,231932.0,78789.0
Líderes Mundiais,Obrador,4,19,5811758.0,1162514.0,419776.0,60.0,,4732.0,2.0,98290.0,5523551.0,56.0,656205.0,180662.0
Líderes Mundiais,Rody Duterte,4,19,4338063.0,7075.0,1953.0,1.0,,,,,183013.0,0.0,0.0,0.0
Líderes Mundiais,Lacalle Pou,4,19,120779.0,24216.0,5905.0,42.0,21326.0,1151.0,35.0,40743.0,122824.0,106.0,11583.0,4520.0
Líderes Mundiais,Benjamin Netanyahu,4,19,2431080.0,1182833.0,297803.0,125.0,640334.0,144759.0,94.0,1875123.0,1568488.0,129.0,513953.0,96147.0
Líderes Mundiais,Piñera,4,19,500564.0,56317.0,11469.0,35.0,399863.0,20215.0,30.0,390545.0,2213275.0,34.0,86120.0,35359.0
Líderes Mundiais,Viktor Orbán,4,19,648129.0,175344.0,9051.0,29.0,,,,,36554.0,0.0,0.0,0.0
Líderes Mundiais,Matteo Salvini,4,19,3579677.0,7450035.0,1238135.0,464.0,1454041.0,525565.0,359.0,13251252.0,1039272.0,663.0,1152852.0,212915.0
Líderes Mundiais,Iván Duque,4,19,905325.0,121482.0,16791.0,131.0,609334.0,5811.0,27.0,188031.0,855151.0,431.0,337249.0,137173.0
Líderes Mundiais,Nicolás Maduro,4,19,842008.0,240463.0,101009.0,147.0,600043.0,30872.0,73.0,261924.0,3612711.0,331.0,584819.0,576380.0
Líderes Mundiais,Emmanuel Macron,4,19,2408854.0,159698.0,64993.0,43.0,1339163.0,12983.0,16.0,287938.0,3892942.0,71.0,608636.0,164549.0
Líderes Mundiais,Evo Morales,4,19,521532.0,88469.0,15150.0,49.0,37593.0,0.0,0.0,0.0,530860.0,338.0,253920.0,143914.0
Líderes Mundiais,Scott Morrison,4,19,154205.0,194276.0,39553.0,104.0,42759.0,4496.0,32.0,77400.0,144391.0,104.0,37358.0,8096.0
Líderes Mundiais,Giuseppe Conte,4,19,884407.0,586550.0,60346.0,100.0,,,,,219825.0,64.0,57334.0,12511.0
Líderes Mundiais,Justin Trudeau,4,19,6481702.0,457830.0,115961.0,106.0,,,,,4485449.0,521.0,366271.0,66887.0
Líderes Mundiais,Pedro Sánchez,4,19,258286.0,147011.0,23999.0,120.0,,,,,1028963.0,280.0,365162.0,145279.0
Líderes Mundiais,Boris Johnson,4,19,557491.0,69278.0,77001.0,14.0,,,,,550471.0,35.0,100194.0,26701.0
Líderes Mundiais,Alberto Fernández,4,19,,6384.0,444.0,32.0,,303.0,4.0,11915.0,,89.0,18235.0,9479.0
Líderes Mundiais,Narendra Modi,5,19,44025404.0,12131374.0,1497552.0,66.0,,,,,47710269.0,443.0,13451808.0,2395317.0
Líderes Mundiais,Jair Bolsonaro,5,19,9516490.0,11696094.0,1072347.0,156.0,12017640.0,1194425.0,117.0,43284467.0,4382774.0,249.0,8612807.0,1228347.0
Líderes Mundiais,Donald Trump,5,19,23993806.0,7000039.0,1044027.0,217.0,,359488.0,104.0,18234100.0,60718824.0,666.0,33086720.0,7685815.0
Líderes Mundiais,Erdogan,5,19,9007920.0,939654.0,145035.0,73.0,,132029.0,11.0,5086843.0,13780496.0,119.0,1822435.0,391139.0
Líderes Mundiais,Obrador,5,19,5873969.0,1475158.0,425992.0,64.0,,5066.0,3.0,111273.0,5616755.0,59.0,598013.0,168316.0
Líderes Mundiais,Cristina Kirchner,5,19,2481274.0,436865.0,91628.0,23.0,,31447.0,10.0,919099.0,5436379.0,41.0,556095.0,167715.0
Líderes Mundiais,Lacalle Pou,5,19,121593.0,29601.0,2846.0,76.0,23591.0,1265.0,86.0,76966.0,124542.0,179.0,19902.0,6949.0
Líderes Mundiais,Giuseppe Conte,5,19,892515.0,549947.0,63908.0,77.0,,,,,229993.0,55.0,41941.0,10045.0
Líderes Mundiais,Justin Trudeau,5,19,6617977.0,1081821.0,127329.0,119.0,,,,,4497498.0,613.0,463785.0,77676.0
Líderes Mundiais,Iván Duque,5,19,905677.0,181302.0,24227.0,151.0,614298.0,9057.0,38.0,282987.0,881353.0,387.0,256739.0,107205.0
Líderes Mundiais,Matteo Salvini,5,19,3652647.0,10877195.0,2116699.0,755.0,1559708.0,767714.0,566.0,18890048.0,1063961.0,1541.0,1941373.0,455006.0
Líderes Mundiais,Scott Morrison,5,19,173128.0,330137.0,61038.0,122.0,56837.0,8725.0,30.0,134266.0,162607.0,78.0,78898.0,16438.0
Líderes Mundiais,Evo Morales,5,19,530339.0,97058.0,23569.0,42.0,38960.0,0.0,0.0,0.0,545080.0,351.0,196237.0,110386.0
Líderes Mundiais,Nicolás Maduro,5,19,859834.0,383915.0,161833.0,194.0,612382.0,55164.0,111.0,484359.0,3632850.0,326.0,809083.0,729601.0
Líderes Mundiais,Benjamin Netanyahu,5,19,2435349.0,385420.0,48337.0,69.0,663084.0,65267.0,63.0,1130167.0,1607042.0,69.0,585914.0,131622.0
Líderes Mundiais,Viktor Orbán,5,19,652782.0,401652.0,23164.0,60.0,,,,,36651.0,0.0,0.0,0.0
Líderes Mundiais,Emmanuel Macron,5,19,2416386.0,96554.0,20193.0,35.0,1347885.0,2906.0,3.0,97885.0,3955727.0,83.0,200196.0,44059.0
Líderes Mundiais,Alberto Fernández,5,19,38208.0,67501.0,5194.0,145.0,,3025.0,6.0,93828.0,157567.0,203.0,204024.0,53904.0
Líderes Mundiais,Piñera,5,19,500695.0,53043.0,14971.0,39.0,409790.0,16261.0,30.0,254917.0,2218993.0,42.0,92681.0,34367.0
Líderes Mundiais,Pedro Sánchez,5,19,261998.0,120260.0,18771.0,91.0,,,,,1045460.0,196.0,247990.0,83511.0
Líderes Mundiais,Boris Johnson,5,19,557828.0,12210.0,8615.0,9.0,,,,,572189.0,36.0,77144.0,14938.0
Líderes Mundiais,Rody Duterte,5,19,4344431.0,0.0,0.0,0.0,,,,,183975.0,0.0,0.0,0.0
Líderes Mundiais,Narendra Modi,6,19,44090172.0,4773983.0,254243.0,30.0,,,,,48339958.0,293.0,6157253.0,925894.0
Líderes Mundiais,Donald Trump,6,19,24166847.0,11238465.0,1541486.0,262.0,,490186.0,80.0,20190630.0,61595929.0,458.0,29814572.0,6636976.0
Líderes Mundiais,Jair Bolsonaro,6,19,9600798.0,12270118.0,1046825.0,137.0,12586291.0,1139525.0,114.0,43293012.0,4598907.0,174.0,7084060.0,972697.0
Líderes Mundiais,Erdogan,6,19,9297667.0,994545.0,163624.0,56.0,,96626.0,7.0,3628052.0,13899433.0,93.0,1611812.0,321930.0
Líderes Mundiais,Obrador,6,19,5969889.0,1996782.0,442136.0,66.0,,12271.0,8.0,313689.0,5738722.0,57.0,700962.0,191291.0
Líderes Mundiais,Cristina Kirchner,6,19,2493943.0,314640.0,73116.0,24.0,,20255.0,11.0,617508.0,5459043.0,31.0,428427.0,143206.0
Líderes Mundiais,Scott Morrison,6,19,180368.0,62361.0,6126.0,15.0,61818.0,2855.0,11.0,60751.0,178837.0,24.0,134735.0,24376.0
Líderes Mundiais,Lacalle Pou,6,19,123413.0,51891.0,5777.0,72.0,28656.0,2306.0,67.0,85331.0,128310.0,207.0,39496.0,13204.0
Líderes Mundiais,Justin Trudeau,6,19,6697896.0,1230992.0,112559.0,114.0,,,,,4526272.0,495.0,700791.0,112754.0
Líderes Mundiais,Evo Morales,6,19,534797.0,66649.0,6827.0,31.0,39999.0,0.0,0.0,0.0,554844.0,341.0,146958.0,86369.0
Líderes Mundiais,Matteo Salvini,6,19,3683922.0,7437592.0,1794416.0,457.0,1609203.0,709649.0,387.0,13768132.0,1081780.0,794.0,1147776.0,208355.0
Líderes Mundiais,Alberto Fernández,6,19,67743.0,144681.0,16969.0,36.0,150934.0,14689.0,22.0,465961.0,182395.0,70.0,544519.0,155598.0
Líderes Mundiais,Nicolás Maduro,6,19,863601.0,224358.0,51459.0,161.0,614362.0,21417.0,81.0,265642.0,3636676.0,265.0,478750.0,535319.0
Líderes Mundiais,Giuseppe Conte,6,19,909102.0,612830.0,87993.0,87.0,,,,,238206.0,49.0,42863.0,9321.0
Líderes Mundiais,Emmanuel Macron,6,19,2418895.0,119724.0,18284.0,48.0,1372190.0,7290.0,8.0,244748.0,4001475.0,72.0,175875.0,38479.0
Líderes Mundiais,Piñera,6,19,501560.0,66229.0,23395.0,36.0,422440.0,17179.0,32.0,307042.0,2227851.0,39.0,91837.0,30218.0
Líderes Mundiais,Benjamin Netanyahu,6,19,2435943.0,375112.0,67597.0,81.0,673388.0,67608.0,67.0,817325.0,1620161.0,76.0,247330.0,43249.0
Líderes Mundiais,Iván Duque,6,19,905577.0,193267.0,21610.0,136.0,620441.0,10410.0,38.0,337263.0,898536.0,388.0,254672.0,97776.0
Líderes Mundiais,Boris Johnson,6,19,563696.0,172608.0,34722.0,39.0,,,,,617258.0,95.0,225302.0,50295.0
Líderes Mundiais,Viktor Orbán,6,19,651729.0,115787.0,5616.0,16.0,,,,,36699.0,0.0,0.0,0.0
Líderes Mundiais,Pedro Sánchez,6,19,263160.0,68340.0,9197.0,44.0,,,,,1054193.0,150.0,194966.0,60821.0
Líderes Mundiais,Rody Duterte,6,19,4337984.0,0.0,0.0,0.0,,,,,184218.0,0.0,0.0,0.0
Líderes Mundiais,Donald Trump,7,19,24251819.0,12647231.0,1430238.0,299.0,,474875.0,68.0,18731903.0,62488586.0,669.0,45252426.0,10021327.0
Líderes Mundiais,Jair Bolsonaro,7,19,9683638.0,13175758.0,1270606.0,175.0,13231858.0,1437076.0,117.0,50892184.0,4795805.0,190.0,8066733.0,1070758.0
Líderes Mundiais,Narendra Modi,7,19,44131780.0,4126908.0,223373.0,21.0,,,,,48928856.0,117.0,4429547.0,659604.0
Líderes Mundiais,Erdogan,7,19,9298215.0,739321.0,74235.0,34.0,,71424.0,6.0,3394655.0,13966437.0,35.0,677346.0,140541.0
Líderes Mundiais,Obrador,7,19,6037811.0,1797468.0,454323.0,72.0,,7690.0,4.0,167640.0,5839858.0,57.0,627304.0,183926.0
Líderes Mundiais,Lacalle Pou,7,19,124210.0,20672.0,2796.0,12.0,32232.0,1683.0,7.0,32619.0,131687.0,48.0,27332.0,7447.0
Líderes Mundiais,Cristina Kirchner,7,19,2503693.0,373472.0,82263.0,34.0,,14024.0,10.0,456254.0,5476173.0,64.0,401815.0,148664.0
Líderes Mundiais,Matteo Salvini,7,19,3742092.0,9071410.0,2368399.0,467.0,1690785.0,1057696.0,417.0,17261761.0,1103385.0,661.0,1465985.0,285034.0
Líderes Mundiais,Evo Morales,7,19,542494.0,133405.0,20719.0,52.0,41924.0,813.0,10.0,23623.0,564386.0,315.0,180491.0,99551.0
Líderes Mundiais,Alberto Fernández,7,19,110769.0,671416.0,122420.0,77.0,242291.0,22710.0,62.0,939270.0,228144.0,160.0,775801.0,285824.0
Líderes Mundiais,Nicolás Maduro,7,19,868662.0,288052.0,54632.0,218.0,,25228.0,117.0,347492.0,3645181.0,348.0,573395.0,698993.0
Líderes Mundiais,Emmanuel Macron,7,19,2442530.0,237685.0,40044.0,35.0,1393123.0,19760.0,11.0,558434.0,4049839.0,62.0,239092.0,65532.0
Líderes Mundiais,Viktor Orbán,7,19,652109.0,182201.0,9025.0,28.0,,,,,36768.0,0.0,0.0,0.0
